Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
29,BEL,3,1,3,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
30,BUL,3,1,2,6,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
31,SLO,3,1,1,5,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
32,UZB,3,0,2,5,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
33,GEO,2,5,1,8,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
34,TPE,2,4,6,12,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
35,TUR,2,2,9,13,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
36,GRE,2,1,1,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
36,UGA,2,1,1,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
38,ECU,2,1,0,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
39,IRL,2,0,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
39,ISR,2,0,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
41,QAT,2,0,1,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
42,BAH,2,0,0,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
42,KOS,2,0,0,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
44,UKR,1,6,12,19,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
45,BLR,1,3,3,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
46,ROU,1,3,0,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
46,VEN,1,3,0,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
48,IND,1,2,4,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
49,HKG,1,2,3,6,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
50,PHI,1,2,1,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
50,SVK,1,2,1,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
52,RSA,1,2,0,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
53,AUT,1,1,5,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
54,EGY,1,1,4,6,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
55,INA,1,1,3,5,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
56,ETH,1,1,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
56,POR,1,1,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
58,TUN,1,1,0,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
59,EST,1,0,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
59,FIJ,1,0,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
59,LAT,1,0,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
59,THA,1,0,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
63,BER,1,0,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
63,MAR,1,0,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
63,PUR,1,0,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
66,COL,0,4,1,5,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
67,AZE,0,3,4,7,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
68,DOM,0,3,2,5,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
69,ARM,0,2,2,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
70,KGZ,0,2,1,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
71,MGL,0,1,3,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
72,ARG,0,1,2,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
72,SMR,0,1,2,3,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
74,JOR,0,1,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
74,MAS,0,1,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
74,NGR,0,1,1,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,BRN,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,LTU,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,NAM,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,MKD,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,KSA,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
77,TKM,0,1,0,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
83,KAZ,0,0,8,8,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
84,MEX,0,0,4,4,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
85,FIN,0,0,2,2,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,BOT,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,BUR,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,GHA,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,GRN,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,CIV,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,KUW,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,MDA,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
86,SYR,0,0,1,1,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
1,USA,40,44,42,126,2024,France
2,CHN,40,27,24,91,2024,France
3,JPN,20,12,13,45,2024,France
4,AUS,18,19,16,53,2024,France
5,FRA,16,26,22,64,2024,France
6,NED,15,7,12,34,2024,France
7,GBR,14,22,29,65,2024,France
8,KOR,13,9,10,32,2024,France
9,ITA,12,13,15,40,2024,France
10,GER,12,13,8,33,2024,France
11,NZL,10,7,3,20,2024,France
12,CAN,9,7,11,27,2024,France
13,UZB,8,2,3,13,2024,France
14,HUN,6,7,6,19,2024,France
15,ESP,5,4,9,18,2024,France
16,SWE,4,4,3,11,2024,France
17,KEN,4,2,5,11,2024,France
18,NOR,4,1,3,8,2024,France
19,IRL,4,0,3,7,2024,France
20,BRA,3,7,10,20,2024,France
21,IRI,3,6,3,12,2024,France
22,UKR,3,5,4,12,2024,France
23,ROU,3,4,2,9,2024,France
24,GEO,3,3,1,7,2024,France
25,BEL,3,1,6,10,2024,France
26,BUL,3,1,3,7,2024,France
27,SRB,3,1,1,5,2024,France
28,CZE,3,0,2,5,2024,France
29,DEN,2,2,5,9,2024,France
30,AZE,2,2,3,7,2024,France
30,CRO,2,2,3,7,2024,France
32,CUB,2,1,6,9,2024,France
33,BRN,2,1,1,4,2024,France
34,SLO,2,1,0,3,2024,France
35,TPE,2,0,5,7,2024,France
36,AUT,2,0,3,5,2024,France
37,HKG,2,0,2,4,2024,France
37,PHI,2,0,2,4,2024,France
39,ALG,2,0,1,3,2024,France
39,INA,2,0,1,3,2024,France
41,ISR,1,5,1,7,2024,France
42,POL,1,4,5,10,2024,France
43,KAZ,1,3,3,7,2024,France
44,JAM,1,3,2,6,2024,France
44,RSA,1,3,2,6,2024,France
44,THA,1,3,2,6,2024,France
47,ETH,1,3,0,4,2024,France
48,SUI,1,2,5,8,2024,France
49,ECU,1,2,2,5,2024,France
50,POR,1,2,1,4,2024,France
51,GRE,1,1,6,8,2024,France
52,ARG,1,1,1,3,2024,France
52,EGY,1,1,1,3,2024,France
52,TUN,1,1,1,3,2024,France
55,BOT,1,1,0,2,2024,France
55,CHI,1,1,0,2,2024,France
55,LCA,1,1,0,2,2024,France
55,UGA,1,1,0,2,2024,France
59,DOM,1,0,2,3,2024,France
60,GUA,1,0,1,2,2024,France
60,MAR,1,0,1,2,2024,France
62,DMA,1,0,0,1,2024,France
62,PAK,1,0,0,1,2024,France
64,TUR,0,3,5,8,2024,France
65,MEX,0,3,2,5,2024,France
66,ARM,0,3,1,4,2024,France
66,COL,0,3,1,4,2024,France
68,KGZ,0,2,4,6,2024,France
68,PRK,0,2,4,6,2024,France
70,LTU,0,2,2,4,2024,France
71,IND,0,1,5,6,2024,France
72,MDA,0,1,3,4,2024,France
73,KOS,0,1,1,2,2024,France
74,CYP,0,1,0,1,2024,France
74,FIJ,0,1,0,1,2024,France
74,JOR,0,1,0,1,2024,France
74,MGL,0,1,0,1,2024,France
74,PAN,0,1,0,1,2024,France
79,TJK,0,0,3,3,2024,France
80,ALB,0,0,2,2,2024,France
80,GRN,0,0,2,2,2024,France
80,MAS,0,0,2,2,2024,France
80,PUR,0,0,2,2,2024,France
84,CPV,0,0,1,1,2024,France
84,CIV,0,0,1,1,2024,France
84,PER,0,0,1,1,2024,France
84,QAT,0,0,1,1,2024,France
84,EOR,0,0,1,1,2024,France
84,SGP,0,0,1,1,2024,France
84,SVK,0,0,1,1,2024,France
84,ZAM,0,0,1,1,2024,France
