Rank,NOC,Gold,Silver,Bronze,Total,Year,host_NOC
20,BRA,3,7,10,20,2024,FRA
21,IRI,3,6,3,12,2024,FRA
22,UKR,3,5,4,12,2024,FRA
23,ROU,3,4,2,9,2024,FRA
24,GEO,3,3,1,7,2024,FRA
25,BEL,3,1,6,10,2024,FRA
26,BUL,3,1,3,7,2024,FRA
27,SRB,3,1,1,5,2024,FRA
28,CZE,3,0,2,5,2024,FRA
29,DEN,2,2,5,9,2024,FRA
30,AZE,2,2,3,7,2024,FRA
30,CRO,2,2,3,7,2024,FRA
32,CUB,2,1,6,9,2024,FRA
33,BRN,2,1,1,4,2024,FRA
34,SLO,2,1,0,3,2024,FRA
35,TPE,2,0,5,7,2024,FRA
36,AUT,2,0,3,5,2024,FRA
37,HKG,2,0,2,4,2024,FRA
37,PHI,2,0,2,4,2024,FRA
39,ALG,2,0,1,3,2024,FRA
39,INA,2,0,1,3,2024,FRA
41,ISR,1,5,1,7,2024,FRA
42,POL,1,4,5,10,2024,FRA
43,KAZ,1,3,3,7,2024,FRA
44,JAM,1,3,2,6,2024,FRA
44,RSA,1,3,2,6,2024,FRA
44,THA,1,3,2,6,2024,FRA
47,ETH,1,3,0,4,2024,FRA
48,SUI,1,2,5,8,2024,FRA
49,ECU,1,2,2,5,2024,FRA
50,POR,1,2,1,4,2024,FRA
51,GRE,1,1,6,8,2024,FRA
52,ARG,1,1,1,3,2024,FRA
52,EGY,1,1,1,3,2024,FRA
52,TUN,1,1,1,3,2024,FRA
55,BOT,1,1,0,2,2024,FRA
55,CHI,1,1,0,2,2024,FRA
55,LCA,1,1,0,2,2024,FRA
55,UGA,1,1,0,2,2024,FRA
59,DOM,1,0,2,3,2024,FRA
60,GUA,1,0,1,2,2024,FRA
60,MAR,1,0,1,2,2024,FRA
62,DMA,1,0,0,1,2024,FRA
62,PAK,1,0,0,1,2024,FRA
64,TUR,0,3,5,8,2024,FRA
65,MEX,0,3,2,5,2024,FRA
66,ARM,0,3,1,4,2024,FRA
66,COL,0,3,1,4,2024,FRA
68,KGZ,0,2,4,6,2024,FRA
68,PRK,0,2,4,6,2024,FRA
70,LTU,0,2,2,4,2024,FRA
71,IND,0,1,5,6,2024,FRA
72,MDA,0,1,3,4,2024,FRA
73,KOS,0,1,1,2,2024,FRA
74,CYP,0,1,0,1,2024,FRA
74,FIJ,0,1,0,1,2024,FRA
74,JOR,0,1,0,1,2024,FRA
74,MGL,0,1,0,1,2024,FRA
74,PAN,0,1,0,1,2024,FRA
79,TJK,0,0,3,3,2024,FRA
80,ALB,0,0,2,2,2024,FRA
80,GRN,0,0,2,2,2024,FRA
80,MAS,0,0,2,2,2024,FRA
80,PUR,0,0,2,2,2024,FRA
84,CPV,0,0,1,1,2024,FRA
84,CIV,0,0,1,1,2024,FRA
84,PER,0,0,1,1,2024,FRA
84,QAT,0,0,1,1,2024,FRA
84,EOR,0,0,1,1,2024,FRA
84,SGP,0,0,1,1,2024,FRA
84,SVK,0,0,1,1,2024,FRA
84,ZAM,0,0,1,1,2024,FRA
