,Sport,Discipline,Code,excel_country,Count,csv_country,Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
15028,Field hockey,Field hockey,HOC,West Germany,1,FRG,3,FRG,17,19,23,59,1984,United States
15029,Field hockey,Field hockey,HOC,West Germany,1,FRG,5,FRG,11,14,15,40,1988,South Korea
15030,Flag football,Flag football,AFB,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15031,Flag football,Flag football,AFB,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15032,Flag football,Flag football,AFB,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15033,Flag football,Flag football,AFB,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15034,Flag football,Flag football,AFB,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15035,Football,Football,FBL,West Germany,1,FRG,8,FRG,5,11,10,26,1968,Mexico
15036,Football,Football,FBL,West Germany,1,FRG,4,FRG,13,11,16,40,1972,West Germany
15037,Football,Football,FBL,West Germany,1,FRG,4,FRG,10,12,17,39,1976,Canada
15038,Football,Football,FBL,West Germany,1,FRG,3,FRG,17,19,23,59,1984,United States
15039,Football,Football,FBL,West Germany,1,FRG,5,FRG,11,14,15,40,1988,South Korea
15040,Golf,Golf,GLF,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15041,Golf,Golf,GLF,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15042,Golf,Golf,GLF,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15043,Golf,Golf,GLF,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15044,Golf,Golf,GLF,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15045,Gymnastics,Artistic,GAR,West Germany,14,FRG,8,FRG,5,11,10,26,1968,Mexico
15046,Gymnastics,Artistic,GAR,West Germany,14,FRG,4,FRG,13,11,16,40,1972,West Germany
15047,Gymnastics,Artistic,GAR,West Germany,14,FRG,4,FRG,10,12,17,39,1976,Canada
15048,Gymnastics,Artistic,GAR,West Germany,14,FRG,3,FRG,17,19,23,59,1984,United States
15049,Gymnastics,Artistic,GAR,West Germany,14,FRG,5,FRG,11,14,15,40,1988,South Korea
15050,Gymnastics,Rhythmic,GRY,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15051,Gymnastics,Rhythmic,GRY,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15052,Gymnastics,Rhythmic,GRY,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15053,Gymnastics,Rhythmic,GRY,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15054,Gymnastics,Rhythmic,GRY,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15055,Gymnastics,Trampoline,GTR,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15056,Gymnastics,Trampoline,GTR,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15057,Gymnastics,Trampoline,GTR,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15058,Gymnastics,Trampoline,GTR,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15059,Gymnastics,Trampoline,GTR,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15060,Handball,Indoor,HBL,West Germany,1,FRG,8,FRG,5,11,10,26,1968,Mexico
15061,Handball,Indoor,HBL,West Germany,1,FRG,4,FRG,13,11,16,40,1972,West Germany
15062,Handball,Indoor,HBL,West Germany,1,FRG,4,FRG,10,12,17,39,1976,Canada
15063,Handball,Indoor,HBL,West Germany,1,FRG,3,FRG,17,19,23,59,1984,United States
15064,Handball,Indoor,HBL,West Germany,1,FRG,5,FRG,11,14,15,40,1988,South Korea
15065,Handball,Field,HBL,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15066,Handball,Field,HBL,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15067,Handball,Field,HBL,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15068,Handball,Field,HBL,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15069,Handball,Field,HBL,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15070,Jeu de Paume,Jeu de Paume,éˆ?0,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15071,Jeu de Paume,Jeu de Paume,éˆ?0,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15072,Jeu de Paume,Jeu de Paume,éˆ?0,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15073,Jeu de Paume,Jeu de Paume,éˆ?0,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15074,Jeu de Paume,Jeu de Paume,éˆ?0,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15075,Judo,Judo,JUD,West Germany,6,FRG,8,FRG,5,11,10,26,1968,Mexico
15076,Judo,Judo,JUD,West Germany,6,FRG,4,FRG,13,11,16,40,1972,West Germany
15077,Judo,Judo,JUD,West Germany,6,FRG,4,FRG,10,12,17,39,1976,Canada
15078,Judo,Judo,JUD,West Germany,6,FRG,3,FRG,17,19,23,59,1984,United States
15079,Judo,Judo,JUD,West Germany,6,FRG,5,FRG,11,14,15,40,1988,South Korea
15080,Karate,Karate,KTE,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15081,Karate,Karate,KTE,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15082,Karate,Karate,KTE,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15083,Karate,Karate,KTE,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15084,Karate,Karate,KTE,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15085,Lacrosse,Sixes,LAX,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15086,Lacrosse,Sixes,LAX,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15087,Lacrosse,Sixes,LAX,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15088,Lacrosse,Sixes,LAX,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15089,Lacrosse,Sixes,LAX,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15090,Lacrosse,Field,LAX,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15091,Lacrosse,Field,LAX,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15092,Lacrosse,Field,LAX,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15093,Lacrosse,Field,LAX,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15094,Lacrosse,Field,LAX,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15095,Modern Pentathlon,,MPN,West Germany,2,FRG,8,FRG,5,11,10,26,1968,Mexico
15096,Modern Pentathlon,,MPN,West Germany,2,FRG,4,FRG,13,11,16,40,1972,West Germany
15097,Modern Pentathlon,,MPN,West Germany,2,FRG,4,FRG,10,12,17,39,1976,Canada
15098,Modern Pentathlon,,MPN,West Germany,2,FRG,3,FRG,17,19,23,59,1984,United States
15099,Modern Pentathlon,,MPN,West Germany,2,FRG,5,FRG,11,14,15,40,1988,South Korea
15100,Polo,Polo,POL,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15101,Polo,Polo,POL,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15102,Polo,Polo,POL,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15103,Polo,Polo,POL,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15104,Polo,Polo,POL,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15105,Rackets,Rackets,RQT,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15106,Rackets,Rackets,RQT,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15107,Rackets,Rackets,RQT,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15108,Rackets,Rackets,RQT,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15109,Rackets,Rackets,RQT,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15110,Roque,Roque,éˆ?0,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15111,Roque,Roque,éˆ?0,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15112,Roque,Roque,éˆ?0,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15113,Roque,Roque,éˆ?0,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15114,Roque,Roque,éˆ?0,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15115,Rowing,Coastal,ROC,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15116,Rowing,Coastal,ROC,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15117,Rowing,Coastal,ROC,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15118,Rowing,Coastal,ROC,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15119,Rowing,Coastal,ROC,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15120,Rowing,Rowing,ROW,West Germany,7,FRG,8,FRG,5,11,10,26,1968,Mexico
15121,Rowing,Rowing,ROW,West Germany,7,FRG,4,FRG,13,11,16,40,1972,West Germany
15122,Rowing,Rowing,ROW,West Germany,7,FRG,4,FRG,10,12,17,39,1976,Canada
15123,Rowing,Rowing,ROW,West Germany,7,FRG,3,FRG,17,19,23,59,1984,United States
15124,Rowing,Rowing,ROW,West Germany,7,FRG,5,FRG,11,14,15,40,1988,South Korea
15125,Rugby,Sevens,RU7,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15126,Rugby,Sevens,RU7,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15127,Rugby,Sevens,RU7,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15128,Rugby,Sevens,RU7,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15129,Rugby,Sevens,RU7,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15130,Rugby,Union,RUG,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15131,Rugby,Union,RUG,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15132,Rugby,Union,RUG,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15133,Rugby,Union,RUG,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15134,Rugby,Union,RUG,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15135,Sailing,Sailing,SAL,West Germany,6,FRG,8,FRG,5,11,10,26,1968,Mexico
15136,Sailing,Sailing,SAL,West Germany,6,FRG,4,FRG,13,11,16,40,1972,West Germany
15137,Sailing,Sailing,SAL,West Germany,6,FRG,4,FRG,10,12,17,39,1976,Canada
15138,Sailing,Sailing,SAL,West Germany,6,FRG,3,FRG,17,19,23,59,1984,United States
15139,Sailing,Sailing,SAL,West Germany,6,FRG,5,FRG,11,14,15,40,1988,South Korea
15140,Shooting,Shooting,SHO,West Germany,8,FRG,8,FRG,5,11,10,26,1968,Mexico
15141,Shooting,Shooting,SHO,West Germany,8,FRG,4,FRG,13,11,16,40,1972,West Germany
15142,Shooting,Shooting,SHO,West Germany,8,FRG,4,FRG,10,12,17,39,1976,Canada
15143,Shooting,Shooting,SHO,West Germany,8,FRG,3,FRG,17,19,23,59,1984,United States
15144,Shooting,Shooting,SHO,West Germany,8,FRG,5,FRG,11,14,15,40,1988,South Korea
15145,Skateboarding,Skateboarding,SKB,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15146,Skateboarding,Skateboarding,SKB,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15147,Skateboarding,Skateboarding,SKB,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15148,Skateboarding,Skateboarding,SKB,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15149,Skateboarding,Skateboarding,SKB,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15150,Sport Climbing,Sport Climbing,CLB,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15151,Sport Climbing,Sport Climbing,CLB,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15152,Sport Climbing,Sport Climbing,CLB,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15153,Sport Climbing,Sport Climbing,CLB,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15154,Sport Climbing,Sport Climbing,CLB,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15155,Squash,Squash,SQU,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15156,Squash,Squash,SQU,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15157,Squash,Squash,SQU,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15158,Squash,Squash,SQU,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15159,Squash,Squash,SQU,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15160,Surfing,Surfing,SRF,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15161,Surfing,Surfing,SRF,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15162,Surfing,Surfing,SRF,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15163,Surfing,Surfing,SRF,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15164,Surfing,Surfing,SRF,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15165,Table Tennis,Table Tennis,TTE,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15166,Table Tennis,Table Tennis,TTE,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15167,Table Tennis,Table Tennis,TTE,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15168,Table Tennis,Table Tennis,TTE,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15169,Table Tennis,Table Tennis,TTE,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15170,Taekwondo,Taekwondo,TKW,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15171,Taekwondo,Taekwondo,TKW,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15172,Taekwondo,Taekwondo,TKW,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15173,Taekwondo,Taekwondo,TKW,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15174,Taekwondo,Taekwondo,TKW,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15175,Tennis,Tennis,TEN,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15176,Tennis,Tennis,TEN,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15177,Tennis,Tennis,TEN,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15178,Tennis,Tennis,TEN,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15179,Tennis,Tennis,TEN,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15180,Triathlon,Triathlon,TRI,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15181,Triathlon,Triathlon,TRI,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15182,Triathlon,Triathlon,TRI,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15183,Triathlon,Triathlon,TRI,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15184,Triathlon,Triathlon,TRI,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15185,Tug of War,Tug of War,TOW,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15186,Tug of War,Tug of War,TOW,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15187,Tug of War,Tug of War,TOW,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15188,Tug of War,Tug of War,TOW,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15189,Tug of War,Tug of War,TOW,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15190,Volleyball,Beach,VBV,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15191,Volleyball,Beach,VBV,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15192,Volleyball,Beach,VBV,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15193,Volleyball,Beach,VBV,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15194,Volleyball,Beach,VBV,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15195,Volleyball,Indoor,VVO,West Germany,2,FRG,8,FRG,5,11,10,26,1968,Mexico
15196,Volleyball,Indoor,VVO,West Germany,2,FRG,4,FRG,13,11,16,40,1972,West Germany
15197,Volleyball,Indoor,VVO,West Germany,2,FRG,4,FRG,10,12,17,39,1976,Canada
15198,Volleyball,Indoor,VVO,West Germany,2,FRG,3,FRG,17,19,23,59,1984,United States
15199,Volleyball,Indoor,VVO,West Germany,2,FRG,5,FRG,11,14,15,40,1988,South Korea
15200,Water Motorsports,,PBT,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15201,Water Motorsports,,PBT,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15202,Water Motorsports,,PBT,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15203,Water Motorsports,,PBT,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15204,Water Motorsports,,PBT,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15205,Weightlifting,Weightlifting,WLF,West Germany,9,FRG,8,FRG,5,11,10,26,1968,Mexico
15206,Weightlifting,Weightlifting,WLF,West Germany,9,FRG,4,FRG,13,11,16,40,1972,West Germany
15207,Weightlifting,Weightlifting,WLF,West Germany,9,FRG,4,FRG,10,12,17,39,1976,Canada
15208,Weightlifting,Weightlifting,WLF,West Germany,9,FRG,3,FRG,17,19,23,59,1984,United States
15209,Weightlifting,Weightlifting,WLF,West Germany,9,FRG,5,FRG,11,14,15,40,1988,South Korea
15210,Wrestling,Freestyle,WRF,West Germany,10,FRG,8,FRG,5,11,10,26,1968,Mexico
15211,Wrestling,Freestyle,WRF,West Germany,10,FRG,4,FRG,13,11,16,40,1972,West Germany
15212,Wrestling,Freestyle,WRF,West Germany,10,FRG,4,FRG,10,12,17,39,1976,Canada
15213,Wrestling,Freestyle,WRF,West Germany,10,FRG,3,FRG,17,19,23,59,1984,United States
15214,Wrestling,Freestyle,WRF,West Germany,10,FRG,5,FRG,11,14,15,40,1988,South Korea
15215,Wrestling,Greco-Roman,WRG,West Germany,10,FRG,8,FRG,5,11,10,26,1968,Mexico
15216,Wrestling,Greco-Roman,WRG,West Germany,10,FRG,4,FRG,13,11,16,40,1972,West Germany
15217,Wrestling,Greco-Roman,WRG,West Germany,10,FRG,4,FRG,10,12,17,39,1976,Canada
15218,Wrestling,Greco-Roman,WRG,West Germany,10,FRG,3,FRG,17,19,23,59,1984,United States
15219,Wrestling,Greco-Roman,WRG,West Germany,10,FRG,5,FRG,11,14,15,40,1988,South Korea
15220,Skating,Figure,FSK,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15221,Skating,Figure,FSK,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15222,Skating,Figure,FSK,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15223,Skating,Figure,FSK,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15224,Skating,Figure,FSK,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15225,Ice Hockey,Ice Hockey,IHO,West Germany,0,FRG,8,FRG,5,11,10,26,1968,Mexico
15226,Ice Hockey,Ice Hockey,IHO,West Germany,0,FRG,4,FRG,13,11,16,40,1972,West Germany
15227,Ice Hockey,Ice Hockey,IHO,West Germany,0,FRG,4,FRG,10,12,17,39,1976,Canada
15228,Ice Hockey,Ice Hockey,IHO,West Germany,0,FRG,3,FRG,17,19,23,59,1984,United States
15229,Ice Hockey,Ice Hockey,IHO,West Germany,0,FRG,5,FRG,11,14,15,40,1988,South Korea
15230,Total events,Total events,Total events,West Germany,195,FRG,8,FRG,5,11,10,26,1968,Mexico
15231,Total events,Total events,Total events,West Germany,195,FRG,4,FRG,13,11,16,40,1972,West Germany
15232,Total events,Total events,Total events,West Germany,195,FRG,4,FRG,10,12,17,39,1976,Canada
15233,Total events,Total events,Total events,West Germany,195,FRG,3,FRG,17,19,23,59,1984,United States
15234,Total events,Total events,Total events,West Germany,195,FRG,5,FRG,11,14,15,40,1988,South Korea
15235,Total disciplines,Total disciplines,Total disciplines,West Germany,28,FRG,8,FRG,5,11,10,26,1968,Mexico
15236,Total disciplines,Total disciplines,Total disciplines,West Germany,28,FRG,4,FRG,13,11,16,40,1972,West Germany
15237,Total disciplines,Total disciplines,Total disciplines,West Germany,28,FRG,4,FRG,10,12,17,39,1976,Canada
15238,Total disciplines,Total disciplines,Total disciplines,West Germany,28,FRG,3,FRG,17,19,23,59,1984,United States
15239,Total disciplines,Total disciplines,Total disciplines,West Germany,28,FRG,5,FRG,11,14,15,40,1988,South Korea
15240,Total sports,Total sports,Total sports,West Germany,21,FRG,8,FRG,5,11,10,26,1968,Mexico
15241,Total sports,Total sports,Total sports,West Germany,21,FRG,4,FRG,13,11,16,40,1972,West Germany
15242,Total sports,Total sports,Total sports,West Germany,21,FRG,4,FRG,10,12,17,39,1976,Canada
15243,Total sports,Total sports,Total sports,West Germany,21,FRG,3,FRG,17,19,23,59,1984,United States
15244,Total sports,Total sports,Total sports,West Germany,21,FRG,5,FRG,11,14,15,40,1988,South Korea
15245,,,,,,,70,GAB,0,1,0,1,2012,United Kingdom
15246,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,5,GBR,2,3,2,7,1896,Greece
15247,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,3,GBR,15,7,9,31,1900,France
15248,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,9,GBR,1,1,0,2,1904,United States
15249,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,1,GBR,56,51,39,146,1908,United Kingdom
15250,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,3,GBR,10,15,16,41,1912,Sweden
15251,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,4,GBR,14,15,13,42,1920,Belgium
15252,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,4,GBR,9,13,12,34,1924,France
15253,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,11,GBR,3,10,7,20,1928,Netherlands
15254,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,9,GBR,5,7,5,17,1932,United States
15255,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,12,GBR,4,7,3,14,1936,Germany
15256,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,12,GBR,3,14,6,23,1948,United Kingdom
15257,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,18,GBR,1,2,8,11,1952,Finland
15258,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,8,GBR,6,7,11,24,1956,Australia
15259,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,12,GBR,2,6,12,20,1960,Italy
15260,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,10,GBR,4,12,2,18,1964,Japan
15261,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,10,GBR,5,5,3,13,1968,Mexico
15262,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,12,GBR,4,5,9,18,1972,West Germany
15263,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,13,GBR,3,5,5,13,1976,Canada
15264,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,9,GBR,5,7,9,21,1980,Soviet Union
15265,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,11,GBR,5,11,21,37,1984,United States
15266,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,12,GBR,5,10,9,24,1988,South Korea
15267,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,13,GBR,5,3,12,20,1992,Spain
15268,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,36,GBR,1,8,6,15,1996,United States
15269,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,10,GBR,11,10,7,28,2000,Australia
15270,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,10,GBR,9,9,12,30,2004,Greece
15271,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,4,GBR,19,13,19,51,2008,China
15272,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,3,GBR,29,18,18,65,2012,United Kingdom
15273,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,2,GBR,27,23,17,67,2016,Brazil
15274,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,4,GBR,22,20,22,64,2020,Japan (Postponed To 2021 Due To The Coronavirus Pandemic)
15275,Aquatics,Artistic Swimming,SWA,United Kingdom,0,GBR,7,GBR,14,22,29,65,2024,France
15276,Aquatics,Diving,DIV,United Kingdom,2,GBR,5,GBR,2,3,2,7,1896,Greece
15277,Aquatics,Diving,DIV,United Kingdom,2,GBR,3,GBR,15,7,9,31,1900,France
15278,Aquatics,Diving,DIV,United Kingdom,2,GBR,9,GBR,1,1,0,2,1904,United States
15279,Aquatics,Diving,DIV,United Kingdom,2,GBR,1,GBR,56,51,39,146,1908,United Kingdom
15280,Aquatics,Diving,DIV,United Kingdom,2,GBR,3,GBR,10,15,16,41,1912,Sweden
15281,Aquatics,Diving,DIV,United Kingdom,2,GBR,4,GBR,14,15,13,42,1920,Belgium
15282,Aquatics,Diving,DIV,United Kingdom,2,GBR,4,GBR,9,13,12,34,1924,France
15283,Aquatics,Diving,DIV,United Kingdom,2,GBR,11,GBR,3,10,7,20,1928,Netherlands
15284,Aquatics,Diving,DIV,United Kingdom,2,GBR,9,GBR,5,7,5,17,1932,United States
15285,Aquatics,Diving,DIV,United Kingdom,2,GBR,12,GBR,4,7,3,14,1936,Germany
15286,Aquatics,Diving,DIV,United Kingdom,2,GBR,12,GBR,3,14,6,23,1948,United Kingdom
15287,Aquatics,Diving,DIV,United Kingdom,2,GBR,18,GBR,1,2,8,11,1952,Finland
15288,Aquatics,Diving,DIV,United Kingdom,2,GBR,8,GBR,6,7,11,24,1956,Australia
15289,Aquatics,Diving,DIV,United Kingdom,2,GBR,12,GBR,2,6,12,20,1960,Italy
15290,Aquatics,Diving,DIV,United Kingdom,2,GBR,10,GBR,4,12,2,18,1964,Japan
15291,Aquatics,Diving,DIV,United Kingdom,2,GBR,10,GBR,5,5,3,13,1968,Mexico
15292,Aquatics,Diving,DIV,United Kingdom,2,GBR,12,GBR,4,5,9,18,1972,West Germany
15293,Aquatics,Diving,DIV,United Kingdom,2,GBR,13,GBR,3,5,5,13,1976,Canada
15294,Aquatics,Diving,DIV,United Kingdom,2,GBR,9,GBR,5,7,9,21,1980,Soviet Union
15295,Aquatics,Diving,DIV,United Kingdom,2,GBR,11,GBR,5,11,21,37,1984,United States
15296,Aquatics,Diving,DIV,United Kingdom,2,GBR,12,GBR,5,10,9,24,1988,South Korea
15297,Aquatics,Diving,DIV,United Kingdom,2,GBR,13,GBR,5,3,12,20,1992,Spain
15298,Aquatics,Diving,DIV,United Kingdom,2,GBR,36,GBR,1,8,6,15,1996,United States
15299,Aquatics,Diving,DIV,United Kingdom,2,GBR,10,GBR,11,10,7,28,2000,Australia
